ID,code,text
aa831ef8-b0c6-4e22-9d7d-bce5eb81bb41,AED,UAE Dirham
e51390d0-a88d-411b-be4b-67031f0f7399,AFN,Afghani
29767169-f901-454a-a5d5-3a02271e6f83,ALL,Albanian Lek
3c6a8fe7-25aa-4ffb-8901-7c24a1efd48e,AMD,Armenian Dram
023eeee3-e8ff-4bf2-91ff-4129fde1ffee,ANG,N. Ant. Guilder
81dbb929-f6d1-42c4-b89e-fc004dfa61ba,AOA,Angolan Kwanza
dc1e7e11-3efe-488c-83fb-c4847380d913,ARS,Argentine Peso
10facccf-ee91-46e0-a009-b1e55b8dbf00,AUD,Austr. Dollar
7d95a326-e98e-43ec-bcd1-044b882fc088,AWG,Aruban Florin
2d2ad696-bddc-49fe-96af-86786df6cc35,AZN,Azerb. Manat
75650a59-27c2-4449-835e-091943d12509,BAM,B. + H. C. Mark
700e7253-855a-4284-acd8-fa08983fa08a,BBD,Barbados Dollar
50176f78-ed02-4187-9c08-1d1cbc02fc89,BDT,Bangladesh Taka
e6ace331-8c1a-4888-8c07-1ea4c0376331,BGN,Bulgarian Lev
b8b8f0aa-dbf1-4432-9835-55ec28b34590,BHD,Bahrain Dinar
36b5542d-53da-4f3a-9f90-27d30c182d58,BIF,Burundi Franc
f01b1585-1db1-452b-b88f-709f12be897b,BMD,Bermudan Dollar
376aac2b-07f6-4e30-a519-1d6290f6e376,BND,Brunei Dollar
d79a84a3-39e5-4414-a8d0-927191fe6d55,BOB,Boliviano
d20576cf-c59b-4d0b-92b5-7f4bf93155a5,BRL,Brazilian Real
ac86dc98-d6d3-455c-948a-217dfcbd803d,BSD,Bahaman Dollar
7c199e64-9c71-474d-bdf3-ae78206b4b5d,BTN,Bhutan Ngultrum
02a2e1e2-13ec-4a6f-b4f3-130b8026ca87,BWP,Botswana Pula
be9fb364-340f-43c0-8e61-86215109da07,BYN,Belarus. Ruble
3e442b4e-83d4-47d9-9330-dfdb32349e1f,BYR,Belorus. Ruble
cc892aa8-e8d7-41a9-9fd9-d8c512b48e97,BZD,Belize Dollar
aba952d3-e0c2-4c32-a556-c551c6266c85,CAD,Canadian Dollar
b3be10ca-2255-4b19-b62e-5f506f020d5c,CDF,Congolese Franc
dd56dfe5-16b1-4e54-b343-de4016a959fc,CHF,Swiss Franc
d9c0031e-fe42-4d11-ad40-7f65d2ff4404,CLF,Unidad Fomento
