ID,code,text
01e3c36b-9aae-43d5-ad91-b6dae605cf6d,%,%
4f23420c-1c34-4c0e-885f-4d3bb233cef8,%O,0%
42835c88-50cb-4fbd-b050-43b137211c71,1,One
f1da15c2-608e-4b38-a9e0-3f9bfad103e2,10,Days
5f684361-7588-4df5-abba-94b5b3269a07,11,Week
6528f072-8bd8-44cc-a18c-476b9a55e32a,12,Month
1af96067-59ba-436e-8aad-604bc9a88d71,13,Year
90ef8dd0-44ac-44f2-a47e-6b58d3b51ba3,14,Week
375ad2a1-1003-42ae-a6bf-809cd5b93008,15,Decade
7c5e50e7-5301-4427-9c88-8c64b5efc354,22S,mm2/s
5ff6571a-31d2-4079-8806-4ad2f7acdf0d,2M,cm/s
64c497c7-091e-4fa1-b182-91dea5503938,2P,kbyte
5946ef98-87ff-4de2-b6e4-1922d854ef64,2X,m/min
1588134b-c787-4812-af11-8915c4b569c8,4G,µl
827ccc5a-2210-4d87-bd40-9d1d090dec24,4L,Mbyte
bb2cead7-ba5b-456b-9d23-9764386919d0,4O,µF
446b85df-40c1-4a80-a26b-0c645225f3e2,4T,pF
9ccaddef-8205-4ab5-808c-0c7f90d4cc23,A,A
0c30f1cf-6ce6-4c1c-84bb-01dff1dc931e,A87,GOhm
50aa0a0e-10d1-4d6b-ada2-6f59f6d4b559,A93,g/m3
bb7a69e3-71ee-4ba4-9134-df2296ec7161,ACR,Acre
4f4d6e40-7747-48fc-84eb-e6cc25a70ee9,AD,byte
0f8790fc-96d0-464a-a321-57d514dd6745,B34,kg/dm3
268bdf58-5ef0-440f-b48c-31536b2fe3e4,B45,kmol
b8b83650-4246-4d48-918f-c1271a3cfcd4,B47,ND
e6643bae-6093-41b4-a995-892ed7989e4a,B73,MN
a4f1dfb4-7026-40b7-98a4-0f036e9f6859,B75,MOhm
b211882e-9d86-4583-b033-d7f38de8632e,B78,MV
40f48609-d19c-4e88-8510-da64cb28e430,B84,µA
a1d3761d-cffb-4c1e-a36c-da5b9c6a6a80,BAG,Bag
76c806e0-3214-4936-9653-f80ee37bac12,BAR,bar
bda0d7e7-cfdd-4b3e-a888-b1e2e1d8a94b,BB6,Barrel 60F
b2ea8b25-14c1-4432-b9f4-4bbcf23054de,BBL,Barrels
3a135503-75f4-40cc-aff7-d10aef1c70a5,BC1,BTUCF1502D
a6cd9046-8bc1-4f20-9a49-375092c97280,BC2,BTUCF1473D
708d3574-d284-42d1-8209-2c1a141a14d6,BC3,BTUCF1465D
a7f02893-e732-4cc4-a853-6f52ddab98d1,BM2,Bq/m2
208191bf-1556-484f-8cf3-80985c421599,BOE,BOE
5b9660c7-8549-487e-a717-db1bd9b7ab01,BOT,Bottle
1925aaf6-d91a-45c8-b1b2-370355364ba2,BQ,Bq
c901f2f0-ad02-4179-aa35-0ec719d2abf8,BQ2,Bq/cm2
1547bd99-d8b3-4a66-b882-9ef88f504cda,BQG,Bq/g
2a0ecad8-61e2-4f6f-86df-a51ebd977736,BQK,Bq/kg
d18841e8-8dc5-410c-9d22-b7674e88e418,BTU,BTU
89890e16-f89b-4b04-a04e-69be4c7cede8,Bqm,Bq/m3
fd0a6796-3fd8-43ab-8425-5c109421346f,C10,mF
5dea92f6-2361-4380-bac6-d53bb0b5efb3,C36,Mo/m3
bcbb43e3-c628-42f0-9f6d-cf1a05875596,C38,Mol/Liter
88b0d30b-d58d-4578-a680-406b75813f30,C39,nA
8e8dd10f-0806-400f-ab92-272594c3e1fc,C3S,cm3/s
40259752-622b-4903-b959-f0e8e2767409,C41,nF
c058ca0f-fff4-48eb-98ae-6410bfe18b75,C56,N/mm2
e597e9bf-578c-4bb6-a068-e8090f88f3b0,CCK,CCM/KG
b7fa53fb-8263-477c-9c64-4f8d6aff65f9,CCM,cm3
42ed2ade-ce4a-461b-a2ce-762ef9f9422a,CD,cd
89665907-1997-48cf-b4a0-a8d68851881f,CDM,Cubic dec.
88b50efe-d25d-4cf7-ad21-28583d505b1b,CM,cm
f2c98461-2192-4ebc-93b3-4a3f59be5511,CM2,cm2
787e609a-4488-4ecc-9e64-af26cd83d5ca,CMH,cm/h
09966111-1ee3-4a8f-938e-be06f71ba415,COP,Copies
326ec186-4748-4bd8-be48-9d4776af7903,CS,Case
baa2ef8a-b182-4e1c-b1a2-71c9c986c737,CTL,Centiliter
b1c82170-4c45-4a3b-8b03-cd2648cc5ba2,D10,Siemens/m
e7d756db-d59c-4214-be69-7fc76daa67ff,D41,t/m3
e7518148-3425-4e6f-8992-eaa1b704c039,D46,VA
81250a8a-f4e4-41e6-9047-30fc112adabe,D95,J/G
28fa35c7-cf3d-4020-b595-df990fb96db0,DBA,db(A)
