code,text
%,%
%O,0%
1,One
10,Days
11,Week
12,Month
13,Year
14,Week
15,Decade
22S,mm2/s
2M,cm/s
2P,kbyte
2X,m/min
4G,µl
4L,Mbyte
4O,µF
4T,pF
A,A
A87,GOhm
A93,g/m3
ACR,Acre
AD,byte
B34,kg/dm3
B45,kmol
B47,ND
B73,MN
B75,MOhm
B78,MV
B84,µA
BAG,Bag
BAR,bar
BB6,Barrel 60F
BBL,Barrels
BC1,BTUCF1502D
BC2,BTUCF1473D
BC3,BTUCF1465D
BM2,Bq/m2
BOE,BOE
BOT,Bottle
BQ,Bq
BQ2,Bq/cm2
BQG,Bq/g
BQK,Bq/kg
BTU,BTU
Bqm,Bq/m3
C10,mF
C36,Mo/m3
C38,Mol/Liter
C39,nA
C3S,cm3/s
C41,nF
C56,N/mm2
CCK,CCM/KG
CCM,cm3
CD,cd
CDM,Cubic dec.
CM,cm
CM2,cm2
CMH,cm/h
COP,Copies
CS,Case
CTL,Centiliter
D10,Siemens/m
D41,t/m3
D46,VA
D95,J/G
DBA,db(A)
DBC,dB(C)
DEG,Degree
DGP,ADR Points
DM,dm
DR,Drum
DZ,Dozen
E34,Gbyte
E35,Tbyte
E36,Pbyte
E59,Eibyte
E60,Pibyte
E61,Tibyte
E62,Gibyte
E63,Mibyte
E64,Kibyte
EA,Each
EE,Enzy.Units
EML,Enzyme/ml
EXR,Ex.Rate
F,F
FA,°F
FAH,Fahrenheit
FT,Foot
FT2,Square ft
FT3,Cubic ft
G,g
G/L,gai/liter
GAU,Gram Gold
GBQ,GBq
GC,°C
GGL,g/gal
GHG,g/hg
GJ,Gigajoule
GJK,GJ/kl
GJT,GJ/t
GKG,g/kg
GKH,g/KWh
GLI,g/l
GLL,US Gallon
GLM,Gal/Mi(US)
GM,g/mol
GM2,g/m2
GMB,g/MMBt
GPH,Gal/hr US
GQ,µg/m3
GRO,Gross
GT,g/t
GUT,g/ton
GW,g act.ing.
H,Hours
HAR,Hectare
HL,hl
HPA,hPa
HZ,Hz
IN,Inches
IN2,Inch2
IN3,Cubic inch
J,J
JHR,Year
JKG,J/kg
JKK,J/(kg*K)
JM3,Joule/m3
JMO,J/mol
K,K
K3,KVArh
KA,kA
KAN,Canister
KAR,Carton
KB2,kBq/c2
KBG,kBq/g
KBK,kBq/kg
KBQ,kBq
KEL,kg/KWh
KG,kg
KGF,kg/m2
KGH,kg/h
KGJ,kg/GJ
KGK,kg/kg
KGM,kg/mol
KGS,kg/s
KGT,kg/t
KGV,kg/m3
KGW,kg ac.ing.
KHZ,kHz
KI,Crate
